bairro_origem,bairro_destino,logradouro,observacao,peso
Recife,Santo Amaro,Av. Norte Miguel Arraes de Alencar,Acesso via Pte. do Limoeiro,2
Recife,São José,Pte. 12 de Setembro,,4
Recife,Santo Antônio,Pte. Buarque de Macedo,,4
Santo Amaro,Boa Vista,R. Dr. Leopoldo Lins,Essa rua se torna a R. dos Palmares em Santo Amaro,1
Santo Amaro,Soledade,R. do Príncipe,Se torna a Avenid João de Barros,1
Santo Amaro,Espinheiro,R. Dr. Fernando Alain,Acesso pela ponte na Av. Agamenon que desagua na Rua Barros Barreto,2
Santo Amaro,Torreão,Av. Norte Miguel Arraes de Alencar,,2
Boa Vista,Soledade,Av. Conde da Boa Vista,,2
Boa Vista,São José,R. Velha,Acesso via Pte,1
Boa Vista,Ilha do Leite,R. Gen. Joaquim Inácio,,1
Boa Vista,Derby,R. Dom Bôsco,,1
Cabanga,Afogados,Av. Sul Gov. Cid Sampaio,Acesso via ponte,2
Cabanga,Pina,Pte. Gov. Paulo Guerra,,4
Ilha do Leite,Ilha Joana Bezerra,Av. Gov. Agamenon Magalhães,Precisa verificar,2
Paissandu,Derby,R. Viscondessa do Livramento,,1
Paissandu,Ilha do Retiro,R. do Paissandú,,1
Paissandu,Ilha do Leite,R. Pref. Jorge Martins,,1
Paissandu,Ilha Joana Bezerra,Av. Gov. Agamenon Magalhães,Precisa verificar,2
Santo Antônio,São José,R. Floriano Peixoto,,1
Santo Antônio,Boa Vista,Pte. Boa Vista,,4
São José,Cabanga,Viaduto Cap. Tenudo,,3
São José,Ilha Joana Bezerra,R. Dom Paulo II,,1
São José,Coelhos,Ponte Viaduto Joaquim Cardozo,Precisa verificar,4
Coelhos,Ilha do Leite,R. José de Alencar,,1
Coelhos,Boa Vista,R. Dr José Mariano,,1
Coelhos,Ilha Joana Bezerra,Ponte Viaduto Joaquim Cardozo,Precisa verificar,4
Arruda,Ponto de Parada,R. Petrolina Botelho,Acessos via ponte,1
Arruda,Água Fria,R. Alegre,,1
Arruda,Campina do Barreto,R. Expedicionário Jamil Dagli,,1
Arruda,Rosarinho,Av. Prof. José dos Anjos,Precisa verificar | Acesso pelo canal do arruda,2
Campina do Barreto,Cajueiro,R. dos Craveiros,,1
Campina do Barreto,Fundão,R. Cel. Urbano Ribeiro de Sena,,1
Campina do Barreto,Peixinhos,R. Dr. Elias Gomes,,
Campo Grande,Encruzilhada,Estr. de Belém,,6
Campo Grande,Hipódromo,R. Prudente de Moraes,,1
Campo Grande,Peixinhos,R. Farias Neves,Acesso pela ponte da rua,1
Encruzilhada,Aflitos,R. Teles Júnior,,1
Encruzilhada,Espinheiro,R. Marquês do Paraná,Cruza a Avenida Norte e vira R. Mal. Deodoro,1
Encruzilhada,Torreão,R. Padre Miguelinho,,1
Encruzilhada,Hipódromo,R. Frederico,,1
Ponto de Parada,Tamarineira,Av. Prof. José dos Anjos,Precisa verificar,2
Ponto de Parada,Encruzilhada,Av. Beberibe Santa Cruz Futebol,,2
Ponto de Parada,Campo Grande,R. Prof. Jerônimo Gueiros,,1
Ponto de Parada,Rosarinho,Av. Santos Dummont,,2
Rosarinho,Encruzilhada,R Salvador de Sá,,1
Rosarinho,Tamarineira,R. Dr. José Maria,,1
Torreão,Campo Grande,R. Prof. Othon Paraíso,,1
Torreão,Espinheiro,R. Augusto Rodrigues,Cruza a Avenida Norte e vira Rua Guadalupe,1
Água Fria,Bomba do Hemetério,R. Tamboara,,1
Água Fria,Fundão,R. São Sebastião,,1
Água Fria,Alto Santa Teresinha,R. Timburi,No fim da rua chega na Rua Tamboara,1
Água Fria,Linha Do Tiro,R. Alto do Deodato,A partir da rua - atravessa a Av. Anvíbal Benévolo - e chega na Rua Luísiania,1
Água Fria,Beberibe,Av. Aníbal Benévolo,,2
Água Fria,Porto Da Madeira,Rua Conselheiro Barros Barreto,,1
Alto Santa Teresinha,Alto José do Pinho,R. Arlindo Cisneiros,,1
