bairro,grau
Boa Vista,9
Casa Amarela,8
Afogados,7
Brejo De Beberibe,7
Curado,7
Encruzilhada,7
Ibura,7
San Martin,7
Água Fria,7
Alto José Do Pinho,6
Apipucos,6
Areias,6
Cordeiro,6
Espinheiro,6
Graças,6
Jardim São Paulo,6
Linha Do Tiro,6
Nova Descoberta,6
Tamarineira,6
Alto Do Mandu,5
Alto José Bonifácio,5
Alto Santa Teresinha,5
Arruda,5
Barro,5
Boa Viagem,5
Bomba Do Hemetério,5
Brejo Da Guabiraba,5
Campo Grande,5
Córrego Do Jenipapo,5
Engenho Do Meio,5
Iputinga,5
Jiquiá,5
Madalena,5
Parnamirim,5
Ponto De Parada,5
Santo Amaro,5
São José,5
Torre,5
Vasco Da Gama,5
Beberibe,4
Bongi,4
Campina Do Barreto,4
Casa Forte,4
Caxangá,4
Cidade Universitária,4
Derby,4
Dois Irmãos,4
Dois Unidos,4
Fundão,4
Guabiraba,4
Ilha Do Leite,4
Ilha Do Retiro,4
Imbiribeira,4
Macaxeira,4
Mangabeira,4
Mangueira,4
Monteiro,4
Morro Da Conceição,4
Mustardinha,4
Passarinho,4
Porto Da Madeira,4
Prado,4
Sancho,4
Tejipió,4
Torreão,4
Torrões,4
Várzea,4
Zumbi,4
Aflitos,3
Cabanga,3
Cajueiro,3
Coelhos,3
Cohab,3
Coqueiral,3
Estância,3
Ilha Joana Bezerra,3
Jaqueira,3
Jordão,3
Paissandu,3
Pina,3
Poço,3
Recife,3
Rosarinho,3
Santana,3
Santo Antônio,3
Totó,3
Hipódromo,2
Ipsep,2
Peixinhos,2
Soledade,2
Sítio Dos Pintos,2
Boa Viagem (Setúbal),1
Brasília Teimosa,1
Caçote,1
Pau-Ferro,1
